"filename", "language", "JavaScript", "XML", "HTML", "Vue.js", "CSS", "JSON", "TypeScript", "SCSS", "comment", "blank", "total"
"d:\20232024\task\pages\Lineage_front\src\views\Fusion.vue", "Vue.js", 0, 0, 0, 176, 0, 0, 0, 0, 2, 1, 179
"d:\20232024\task\pages\Lineage_front\src\views\GenderAge.vue", "Vue.js", 0, 0, 0, 16, 0, 0, 0, 0, 1, 4, 21
"d:\20232024\task\pages\Lineage_front\src\views\Home.vue", "Vue.js", 0, 0, 0, 296, 0, 0, 0, 0, 3, 2, 301
"d:\20232024\task\pages\Lineage_front\src\views\Imputation.vue", "Vue.js", 0, 0, 0, 130, 0, 0, 0, 0, 0, 1, 131
"d:\20232024\task\pages\Lineage_front\src\views\Layout.vue", "Vue.js", 0, 0, 0, 147, 0, 0, 0, 0, 5, 3, 155
"d:\20232024\task\pages\Lineage_front\src\views\Load.vue", "Vue.js", 0, 0, 0, 177, 0, 0, 0, 0, 1, 1, 179
"d:\20232024\task\pages\Lineage_front\src\views\Province.vue", "Vue.js", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"d:\20232024\task\pages\Lineage_front\src\views\Reader.vue", "Vue.js", 0, 0, 0, 557, 0, 0, 0, 0, 15, 20, 592
"d:\20232024\task\pages\Lineage_front\src\views\Reverse.vue", "Vue.js", 0, 0, 0, 87, 0, 0, 0, 0, 3, 2, 92
"d:\20232024\task\pages\Lineage_front\src\views\Search.vue", "Vue.js", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\20232024\task\pages\Lineage_front\src\views\TopFive.vue", "Vue.js", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\bottom.vue", "Vue.js", 0, 0, 0, 65, 0, 0, 0, 0, 9, 6, 80
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\bottomLeft.vue", "Vue.js", 0, 0, 0, 50, 0, 0, 0, 0, 0, 3, 53
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\bottomRight.vue", "Vue.js", 0, 0, 0, 57, 0, 0, 0, 0, 1, 2, 60
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\center.vue", "Vue.js", 0, 0, 0, 246, 0, 0, 0, 0, 2, 3, 251
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerLeft1.vue", "Vue.js", 0, 0, 0, 153, 0, 0, 0, 0, 3, 4, 160
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerLeft2.vue", "Vue.js", 0, 0, 0, 57, 0, 0, 0, 0, 0, 2, 59
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerRight1.vue", "Vue.js", 0, 0, 0, 124, 0, 0, 0, 0, 0, 3, 127
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\centerRight2.vue", "Vue.js", 0, 0, 0, 77, 0, 0, 0, 0, 0, 4, 81
"d:\20232024\task\pages\Lineage_front\src\views\bigscreen\mainFlowCharts.vue", "Vue.js", 0, 0, 0, 30, 0, 0, 0, 0, 2, 2, 34
"d:\20232024\task\pages\Lineage_front\src\views\index.vue", "Vue.js", 0, 0, 0, 276, 0, 0, 0, 0, 9, 19, 304
"d:\20232024\task\pages\Lineage_front\src\views\map.vue", "Vue.js", 0, 0, 0, 24, 0, 0, 0, 0, 1, 0, 25
"d:\20232024\task\pages\Lineage_front\src\views\readerlast.vue", "Vue.js", 0, 0, 0, 36, 0, 0, 0, 0, 0, 2, 38
"Total", "-", 3912, 29, 22, 6468, 844, 34984, 12, 337, 414, 461, 47483
